"","datetime","time","season","holiday","workingday","weather","temp","atemp","humidity","windspeed","count","dayOfWeek"
"3309",2011-08-07 19:00:00,"19:00:00","3","0","0","1",29.52,34.85,79,110.014,228,"maandag"
"9531",2012-10-01 12:00:00,"12:00:00","4","0","1","2",24.6,31.06,43,110.014,323,"zaterdag"
"2548",2011-06-14 02:00:00,"02:00:00","2","0","1","1",24.6,31.06,49,190.012,10,"vrijdag"
"1582",2011-04-11 20:00:00,"20:00:00","2","0","1","1",27.88,31.82,57,350.008,166,"woensdag"
"6856",2012-04-04 00:00:00,"00:00:00","2","0","1","1",19.68,23.485,48,0,41,"dinsdag"
"3689",2011-09-04 15:00:00,"15:00:00","3","0","0","1",31.98,37.88,66,190.012,410,"maandag"
"7165",2012-04-16 22:00:00,"22:00:00","2","1","0","1",27.88,31.82,51,169.979,214,"woensdag"
"3555",2011-08-18 01:00:00,"01:00:00","3","0","1","2",27.06,31.06,65,110.014,24,"maandag"
"5736",2012-01-14 04:00:00,"04:00:00","1","0","0","1",5.74,7.575,50,89.981,3,"maandag"
"3316",2011-08-08 02:00:00,"02:00:00","3","0","1","1",27.06,29.545,89,0,7,"woensdag"
"6934",2012-04-07 06:00:00,"06:00:00","2","0","0","1",13.12,15.91,36,12.998,19,"vrijdag"
"4213",2011-10-07 14:00:00,"14:00:00","4","0","1","1",25.42,31.06,50,0,256,"zaterdag"
"1411",2011-04-04 16:00:00,"16:00:00","2","0","1","1",31.16,32.575,22,350.008,189,"dinsdag"
"3743",2011-09-06 22:00:00,"22:00:00","3","0","1","2",22.14,25.76,94,220.028,84,"woensdag"
"3199",2011-08-03 05:00:00,"05:00:00","3","0","1","2",31.16,34.85,55,60.032,24,"woensdag"
"9108",2012-09-02 21:00:00,"21:00:00","3","0","0","1",28.7,32.575,70,110.014,171,"vrijdag"
"9958",2012-10-19 07:00:00,"07:00:00","4","0","1","3",22.14,25.76,94,0,154,"zondag"
"1667",2011-04-15 09:00:00,"09:00:00","2","1","0","1",20.5,24.24,55,12.998,178,"maandag"
"7359",2012-05-06 00:00:00,"00:00:00","2","0","0","2",22.96,26.515,83,89.981,134,"zaterdag"
"5753",2012-01-14 21:00:00,"21:00:00","1","0","0","1",7.38,8.335,43,169.979,69,"maandag"
"568",2011-02-06 20:00:00,"20:00:00","1","0","0","1",11.48,14.395,61,70.015,26,"maandag"
"8434",2012-07-12 19:00:00,"19:00:00","3","0","1","1",30.34,33.335,48,150.013,629,"vrijdag"
"7030",2012-04-11 07:00:00,"07:00:00","2","0","1","1",11.48,14.395,52,89.981,321,"woensdag"
"1238",2011-03-16 10:00:00,"10:00:00","1","0","1","2",14.76,17.425,81,110.014,68,"zondag"
"9918",2012-10-17 15:00:00,"15:00:00","4","0","1","2",23.78,27.275,43,150.013,301,"vrijdag"
"1961",2011-05-08 15:00:00,"15:00:00","2","0","0","1",24.6,31.06,49,0,358,"dinsdag"
"10282",2012-11-13 20:00:00,"20:00:00","4","0","1","1",12.3,13.635,49,239.994,223,"woensdag"
"2079",2011-05-13 13:00:00,"13:00:00","2","0","1","2",21.32,25,88,260.027,226,"maandag"
"3429",2011-08-12 19:00:00,"19:00:00","3","0","1","1",30.34,33.335,42,150.013,385,"maandag"
"4338",2011-10-12 19:00:00,"19:00:00","4","0","1","3",22.14,25.76,94,89.981,109,"zaterdag"
"2171",2011-05-17 09:00:00,"09:00:00","2","0","1","2",22.14,25.76,88,169.979,207,"zaterdag"
"2247",2011-06-01 13:00:00,"13:00:00","2","0","1","1",36.9,40.91,37,12.998,154,"woensdag"
"4658",2011-11-07 04:00:00,"04:00:00","4","0","1","1",13.12,17.425,93,0,6,"dinsdag"
"9056",2012-08-19 17:00:00,"17:00:00","3","0","0","2",26.24,29.545,78,70.015,343,"dinsdag"
"4644",2011-11-06 14:00:00,"14:00:00","4","0","0","1",18.86,22.725,55,12.998,320,"maandag"
"9283",2012-09-10 04:00:00,"04:00:00","3","0","1","1",21.32,25,68,190.012,5,"maandag"
"5016",2011-12-03 02:00:00,"02:00:00","4","0","0","1",10.66,12.88,65,110.014,50,"zaterdag"
"4588",2011-11-04 06:00:00,"06:00:00","4","0","1","2",15.58,19.695,87,60.032,66,"zaterdag"
"4378",2011-10-14 11:00:00,"11:00:00","4","0","1","3",21.32,25,88,110.014,87,"maandag"
"1629",2011-04-13 19:00:00,"19:00:00","2","0","1","1",18.04,21.97,62,169.979,175,"zaterdag"
"2334",2011-06-05 04:00:00,"04:00:00","2","0","0","2",25.42,30.305,65,110.014,12,"maandag"
"10806",2012-12-16 16:00:00,"16:00:00","4","0","0","2",15.58,19.695,82,70.015,400,"dinsdag"
"869",2011-02-19 16:00:00,"16:00:00","1","0","0","1",18.04,21.97,16,430.006,120,"woensdag"
"8979",2012-08-16 12:00:00,"12:00:00","3","0","1","1",32.8,34.85,33,70.015,343,"zaterdag"
"9320",2012-09-11 17:00:00,"17:00:00","3","0","1","1",28.7,31.82,28,0,970,"dinsdag"
"7805",2012-06-05 14:00:00,"14:00:00","2","0","1","2",23.78,27.275,46,110.014,276,"maandag"
"7588",2012-05-15 13:00:00,"13:00:00","2","0","1","3",26.24,30.305,73,12.998,239,"woensdag"
"2438",2011-06-09 12:00:00,"12:00:00","2","0","1","1",37.72,42.425,35,12.998,140,"zaterdag"
"2495",2011-06-11 21:00:00,"21:00:00","2","0","0","1",27.06,31.06,74,150.013,220,"maandag"
"4331",2011-10-12 12:00:00,"12:00:00","4","0","1","3",22.14,25.76,88,220.028,62,"zaterdag"
"6886",2012-04-05 06:00:00,"06:00:00","2","0","1","1",14.76,16.665,46,220.028,126,"woensdag"
"8576",2012-07-18 17:00:00,"17:00:00","3","0","1","1",30.34,34.85,70,169.979,370,"vrijdag"
"4336",2011-10-12 17:00:00,"17:00:00","4","0","1","3",22.14,25.76,94,150.013,251,"zaterdag"
"3626",2011-09-02 00:00:00,"00:00:00","3","0","1","1",26.24,30.305,65,12.998,64,"vrijdag"
"295",2011-01-13 18:00:00,"18:00:00","1","0","1","1",8.2,9.09,40,220.028,144,"zondag"
"1266",2011-03-17 14:00:00,"14:00:00","1","0","1","1",20.5,24.24,45,70.015,119,"maandag"
"4587",2011-11-04 05:00:00,"05:00:00","4","0","1","2",15.58,19.695,87,0,23,"zaterdag"
"9758",2012-10-10 23:00:00,"23:00:00","4","0","1","1",18.04,21.97,58,12.998,136,"woensdag"
"6713",2012-03-17 00:00:00,"00:00:00","1","0","0","2",18.04,21.97,94,60.032,100,"maandag"
"6390",2012-03-03 12:00:00,"12:00:00","1","0","0","2",17.22,21.21,67,169.979,299,"donderdag"
"6989",2012-04-09 13:00:00,"13:00:00","2","0","1","1",22.14,25.76,28,390.007,281,"maandag"
"5922",2012-02-02 23:00:00,"23:00:00","1","0","1","1",13.12,15.15,49,169.979,61,"woensdag"
"5221",2011-12-11 15:00:00,"15:00:00","4","0","0","1",12.3,16.665,26,0,266,"dinsdag"
"490",2011-02-03 13:00:00,"13:00:00","1","0","1","1",8.2,8.335,40,279.993,51,"donderdag"
"6870",2012-04-04 14:00:00,"14:00:00","2","0","1","2",25.42,31.06,46,12.998,258,"dinsdag"
"4982",2011-12-01 16:00:00,"16:00:00","4","0","1","1",16.4,20.455,40,12.998,201,"donderdag"
"1777",2011-04-19 23:00:00,"23:00:00","2","0","1","1",18.86,22.725,88,60.032,52,"zaterdag"
"5498",2012-01-04 05:00:00,"05:00:00","1","0","1","1",0.82,2.275,41,12.998,14,"dinsdag"
"2224",2011-05-19 14:00:00,"14:00:00","2","0","1","3",22.14,25.76,73,12.998,180,"maandag"
"672",2011-02-11 08:00:00,"08:00:00","1","0","1","1",4.1,6.06,74,110.014,216,"zondag"
"6772",2012-03-19 11:00:00,"11:00:00","1","0","1","1",22.96,26.515,68,110.014,201,"woensdag"
"6118",2012-02-11 04:00:00,"04:00:00","1","0","0","3",9.84,11.365,87,150.013,4,"zondag"
"7212",2012-04-18 21:00:00,"21:00:00","2","0","1","2",17.22,21.21,82,60.032,189,"vrijdag"
"5073",2011-12-05 11:00:00,"11:00:00","4","0","1","2",14.76,18.18,87,60.032,123,"dinsdag"
"9513",2012-09-19 18:00:00,"18:00:00","3","0","1","1",23.78,27.275,40,190.012,892,"vrijdag"
"3811",2011-09-09 19:00:00,"19:00:00","3","0","1","1",27.06,29.545,89,110.014,349,"zondag"
"7562",2012-05-14 11:00:00,"11:00:00","2","0","1","2",22.96,26.515,83,150.013,79,"dinsdag"
"3770",2011-09-08 01:00:00,"01:00:00","3","0","1","3",25.42,27.275,94,70.015,4,"zaterdag"
"8169",2012-07-01 18:00:00,"18:00:00","3","0","0","1",36.08,38.635,32,239.994,370,"vrijdag"
"8686",2012-08-04 07:00:00,"07:00:00","3","0","0","1",29.52,34.85,77,110.014,67,"vrijdag"
"9152",2012-09-04 17:00:00,"17:00:00","3","0","1","1",31.16,36.365,70,239.994,856,"maandag"
"9699",2012-10-08 12:00:00,"12:00:00","4","1","0","2",17.22,21.21,63,110.014,341,"maandag"
"6217",2012-02-15 07:00:00,"07:00:00","1","0","1","2",12.3,14.395,65,12.998,321,"vrijdag"
"10037",2012-11-03 14:00:00,"14:00:00","4","0","0","2",14.76,16.665,50,220.028,455,"donderdag"
"8090",2012-06-17 11:00:00,"11:00:00","2","0","0","1",25.42,31.06,57,70.015,546,"dinsdag"
"8211",2012-07-03 12:00:00,"12:00:00","3","0","1","1",36.08,37.88,28,12.998,272,"zondag"
"10027",2012-11-03 04:00:00,"04:00:00","4","0","0","2",13.12,15.15,49,199.995,16,"donderdag"
"10814",2012-12-17 00:00:00,"00:00:00","4","0","1","2",15.58,19.695,87,0,28,"woensdag"
"4474",2011-10-18 11:00:00,"11:00:00","4","0","1","2",24.6,31.06,49,70.015,147,"zaterdag"
"8643",2012-08-02 12:00:00,"12:00:00","3","0","1","1",34.44,37.88,44,89.981,286,"dinsdag"
"3673",2011-09-03 23:00:00,"23:00:00","3","0","0","1",27.06,31.06,85,89.981,123,"zaterdag"
"1500",2011-04-08 09:00:00,"09:00:00","2","0","1","2",14.76,17.425,76,12.998,185,"zondag"
"857",2011-02-19 04:00:00,"04:00:00","1","0","0","1",16.4,20.455,15,220.028,3,"woensdag"
"4191",2011-10-06 16:00:00,"16:00:00","4","0","1","1",23.78,27.275,49,12.998,323,"vrijdag"
"5677",2012-01-11 17:00:00,"17:00:00","1","0","1","3",13.94,15.91,87,150.013,134,"donderdag"
"2449",2011-06-09 23:00:00,"23:00:00","2","0","1","2",30.34,34.85,57,110.014,97,"zaterdag"
"7185",2012-04-17 18:00:00,"18:00:00","2","0","1","1",26.24,30.305,25,190.012,775,"donderdag"
"3863",2011-09-11 23:00:00,"23:00:00","3","0","0","3",23.78,27.275,78,60.032,45,"dinsdag"
"8856",2012-08-11 09:00:00,"09:00:00","3","0","0","1",27.88,31.82,79,12.998,271,"zaterdag"
"456",2011-02-02 02:00:00,"02:00:00","1","0","1","3",9.02,11.365,93,89.981,4,"woensdag"
"2708",2011-07-01 18:00:00,"18:00:00","3","0","1","1",32.8,34.09,24,169.979,422,"vrijdag"
"4408",2011-10-15 17:00:00,"17:00:00","4","0","0","1",23.78,27.275,32,190.012,441,"dinsdag"
"1756",2011-04-19 02:00:00,"02:00:00","2","0","1","1",18.86,22.725,67,190.012,13,"zaterdag"
"7467",2012-05-10 12:00:00,"12:00:00","2","0","1","1",21.32,25,48,279.993,272,"donderdag"
"2327",2011-06-04 21:00:00,"21:00:00","2","0","0","2",27.06,31.06,47,70.015,185,"zondag"
"7050",2012-04-12 03:00:00,"03:00:00","2","0","1","1",13.12,15.15,61,169.979,5,"vrijdag"
"3932",2011-09-14 21:00:00,"21:00:00","3","0","1","2",27.06,31.06,65,150.013,213,"zaterdag"
"2134",2011-05-15 20:00:00,"20:00:00","2","0","0","1",22.14,25.76,88,0,191,"woensdag"
"6655",2012-03-14 14:00:00,"14:00:00","1","0","1","1",28.7,31.82,23,220.028,224,"donderdag"
"5503",2012-01-04 10:00:00,"10:00:00","1","0","1","1",2.46,5.305,45,0,64,"dinsdag"
"4791",2011-11-12 17:00:00,"17:00:00","4","0","0","1",20.5,24.24,34,169.979,285,"dinsdag"
"6124",2012-02-11 10:00:00,"10:00:00","1","0","0","3",9.02,12.12,93,70.015,166,"zondag"
"157",2011-01-07 20:00:00,"20:00:00","1","0","1","1",7.38,10.605,47,70.015,51,"zaterdag"
"2222",2011-05-19 12:00:00,"12:00:00","2","0","1","2",23.78,27.275,78,70.015,168,"maandag"
"7189",2012-04-17 22:00:00,"22:00:00","2","0","1","1",22.14,25.76,30,169.979,162,"donderdag"
"3407",2011-08-11 21:00:00,"21:00:00","3","0","1","1",28.7,32.575,48,60.032,206,"zaterdag"
"3325",2011-08-08 11:00:00,"11:00:00","3","0","1","1",33.62,37.12,48,239.994,179,"woensdag"
"7604",2012-05-16 05:00:00,"05:00:00","2","0","1","1",22.14,25.76,94,70.015,38,"vrijdag"
"8228",2012-07-04 05:00:00,"05:00:00","3","1","0","1",27.06,31.06,69,0,19,"dinsdag"
"1878",2011-05-05 04:00:00,"04:00:00","2","0","1","1",13.94,15.91,66,169.979,7,"vrijdag"
"4471",2011-10-18 08:00:00,"08:00:00","4","0","1","1",20.5,24.24,77,60.032,499,"zaterdag"
"7377",2012-05-06 18:00:00,"18:00:00","2","0","0","2",25.42,30.305,61,12.998,463,"zaterdag"
"5216",2011-12-11 10:00:00,"10:00:00","4","0","0","1",9.84,14.395,44,0,194,"dinsdag"
"4621",2011-11-05 15:00:00,"15:00:00","4","0","0","1",16.4,20.455,37,12.998,343,"zondag"
"7141",2012-04-15 22:00:00,"22:00:00","2","0","0","1",27.88,31.82,44,239.994,134,"maandag"
"10124",2012-11-07 05:00:00,"05:00:00","4","0","1","2",11.48,12.88,52,220.028,27,"dinsdag"
"3868",2011-09-12 05:00:00,"05:00:00","3","0","1","1",22.96,26.515,83,0,24,"donderdag"
"55",2011-01-03 10:00:00,"10:00:00","1","0","1","1",7.38,8.335,43,169.979,44,"maandag"
"6708",2012-03-16 19:00:00,"19:00:00","1","0","1","2",18.86,22.725,88,0,296,"zondag"
"9608",2012-10-04 17:00:00,"17:00:00","4","0","1","1",28.7,32.575,51,150.013,901,"woensdag"
"10001",2012-11-02 02:00:00,"02:00:00","4","0","1","1",13.12,15.91,66,110.014,10,"woensdag"
"9536",2012-10-01 17:00:00,"17:00:00","4","0","1","3",22.96,26.515,60,169.979,856,"zaterdag"
"10164",2012-11-08 22:00:00,"22:00:00","4","0","1","1",13.94,15.15,42,199.995,161,"donderdag"
"5696",2012-01-12 12:00:00,"12:00:00","1","0","1","2",13.94,17.425,81,70.015,144,"vrijdag"
"6134",2012-02-11 20:00:00,"20:00:00","1","0","0","2",6.56,6.06,43,369.974,63,"zondag"
"8832",2012-08-10 09:00:00,"09:00:00","3","0","1","2",26.24,28.79,89,0,220,"vrijdag"
"6748",2012-03-18 11:00:00,"11:00:00","1","0","0","2",18.04,21.97,82,110.014,368,"dinsdag"
"3161",2011-08-01 15:00:00,"15:00:00","3","0","1","1",36.9,39.395,27,0,129,"maandag"
"9615",2012-10-05 00:00:00,"00:00:00","4","0","1","1",22.96,26.515,73,0,102,"donderdag"
"3591",2011-08-19 13:00:00,"13:00:00","3","0","1","2",31.16,35.605,62,12.998,232,"dinsdag"
"4549",2011-11-02 15:00:00,"15:00:00","4","0","1","1",19.68,23.485,51,110.014,187,"woensdag"
"10730",2012-12-13 12:00:00,"12:00:00","4","0","1","1",14.76,16.665,40,169.979,282,"vrijdag"
"1531",2011-04-09 16:00:00,"16:00:00","2","0","0","2",15.58,19.695,82,0,191,"maandag"
"182",2011-01-08 21:00:00,"21:00:00","1","0","0","1",4.92,5.305,39,239.994,37,"zondag"
"7020",2012-04-10 20:00:00,"20:00:00","2","0","1","1",18.86,22.725,28,260.027,282,"dinsdag"
"696",2011-02-12 08:00:00,"08:00:00","1","0","0","1",5.74,7.575,86,89.981,30,"maandag"
"7876",2012-06-08 13:00:00,"13:00:00","2","0","1","1",30.34,32.575,37,169.979,416,"vrijdag"
"8834",2012-08-10 11:00:00,"11:00:00","3","0","1","3",27.88,31.82,79,89.981,251,"vrijdag"
"554",2011-02-06 06:00:00,"06:00:00","1","0","0","1",10.66,12.88,60,150.013,1,"maandag"
"3577",2011-08-18 23:00:00,"23:00:00","3","0","1","2",28.7,33.335,74,89.981,114,"maandag"
"291",2011-01-13 14:00:00,"14:00:00","1","0","1","1",9.02,9.85,41,260.027,42,"zondag"
"8701",2012-08-04 22:00:00,"22:00:00","3","0","0","1",31.16,36.365,66,190.012,269,"vrijdag"
"1871",2011-05-04 21:00:00,"21:00:00","2","0","1","1",16.4,20.455,62,110.014,150,"donderdag"
"7931",2012-06-10 20:00:00,"20:00:00","2","0","0","1",31.16,34.09,48,110.014,363,"zondag"
"9791",2012-10-12 08:00:00,"08:00:00","4","0","1","1",17.22,21.21,71,60.032,745,"zaterdag"
"8492",2012-07-15 05:00:00,"05:00:00","3","0","0","1",27.88,31.82,89,89.981,9,"maandag"
"6142",2012-02-12 04:00:00,"04:00:00","1","0","0","2",4.1,2.275,46,479.988,1,"maandag"
"9714",2012-10-09 03:00:00,"03:00:00","4","0","1","3",14.76,16.665,87,190.012,3,"dinsdag"
"7830",2012-06-06 15:00:00,"15:00:00","2","0","1","1",26.24,31.06,38,0,300,"dinsdag"
"5207",2011-12-11 01:00:00,"01:00:00","4","0","0","1",6.56,7.575,59,150.013,62,"dinsdag"
"49",2011-01-03 04:00:00,"04:00:00","1","0","1","1",6.56,6.82,47,260.027,1,"maandag"
"9210",2012-09-07 03:00:00,"03:00:00","3","0","1","1",25.42,28.79,83,60.032,9,"donderdag"
"10770",2012-12-15 04:00:00,"04:00:00","4","0","0","2",9.84,12.88,87,70.015,6,"zondag"
"9338",2012-09-12 11:00:00,"11:00:00","3","0","1","1",27.06,31.06,50,12.998,232,"donderdag"
"8220",2012-07-03 21:00:00,"21:00:00","3","0","1","2",28.7,32.575,70,190.012,196,"zondag"
"9151",2012-09-04 16:00:00,"16:00:00","3","0","1","1",31.16,36.365,70,279.993,458,"maandag"
"1400",2011-04-04 05:00:00,"05:00:00","2","0","1","1",16.4,20.455,62,169.979,7,"dinsdag"
"1143",2011-03-12 07:00:00,"07:00:00","1","0","0","1",9.84,11.365,70,12.998,23,"dinsdag"
"5652",2012-01-10 16:00:00,"16:00:00","1","0","1","1",17.22,21.21,38,239.994,240,"woensdag"
"508",2011-02-04 08:00:00,"08:00:00","1","0","1","1",5.74,7.575,74,89.981,220,"vrijdag"
"5778",2012-01-15 22:00:00,"22:00:00","1","0","0","1",7.38,10.605,37,60.032,60,"dinsdag"
"4245",2011-10-08 22:00:00,"22:00:00","4","0","0","1",20.5,24.24,77,0,149,"maandag"
"913",2011-03-02 12:00:00,"12:00:00","1","0","1","1",16.4,20.455,43,12.998,82,"woensdag"
"5274",2011-12-13 20:00:00,"20:00:00","4","0","1","1",13.12,15.91,49,110.014,161,"vrijdag"
"9281",2012-09-10 02:00:00,"02:00:00","3","0","1","1",22.14,25.76,60,239.994,17,"maandag"
"6783",2012-03-19 22:00:00,"22:00:00","1","0","1","2",22.96,26.515,73,110.014,148,"woensdag"
"3437",2011-08-13 03:00:00,"03:00:00","3","0","0","1",27.06,31.06,65,89.981,27,"dinsdag"
"1020",2011-03-07 00:00:00,"00:00:00","1","0","1","3",8.2,9.09,100,220.028,4,"dinsdag"
"9357",2012-09-13 06:00:00,"06:00:00","3","0","1","1",20.5,24.24,82,0,195,"vrijdag"
"3130",2011-07-19 08:00:00,"08:00:00","3","0","1","2",31.16,36.365,70,110.014,412,"zaterdag"
"7663",2012-05-18 16:00:00,"16:00:00","2","0","1","1",27.06,31.06,34,169.979,568,"zondag"
"6199",2012-02-14 13:00:00,"13:00:00","1","0","1","2",14.76,16.665,40,169.979,173,"donderdag"
"8570",2012-07-18 11:00:00,"11:00:00","3","0","1","1",36.9,42.425,42,0,183,"vrijdag"
"9410",2012-09-15 11:00:00,"11:00:00","3","0","0","1",26.24,31.06,38,260.027,627,"zondag"
"1774",2011-04-19 20:00:00,"20:00:00","2","0","1","2",20.5,24.24,72,150.013,168,"zaterdag"
"8310",2012-07-07 15:00:00,"15:00:00","3","0","0","1",39.36,42.425,26,0,306,"vrijdag"
"293",2011-01-13 16:00:00,"16:00:00","1","0","1","1",9.84,10.605,38,239.994,78,"zondag"
"8730",2012-08-06 03:00:00,"03:00:00","3","0","1","3",29.52,34.85,79,60.032,5,"zondag"
"2863",2011-07-08 05:00:00,"05:00:00","3","0","1","1",27.88,31.82,79,169.979,27,"zondag"
"6226",2012-02-15 16:00:00,"16:00:00","1","0","1","1",17.22,21.21,38,12.998,231,"vrijdag"
"5443",2012-01-01 21:00:00,"21:00:00","1","0","0","2",18.04,21.97,67,169.979,71,"zaterdag"
"410",2011-01-19 02:00:00,"02:00:00","1","0","1","3",9.02,11.365,93,89.981,3,"zondag"
"7985",2012-06-13 02:00:00,"02:00:00","2","0","1","1",25.42,28.79,83,89.981,4,"donderdag"
"1665",2011-04-15 07:00:00,"07:00:00","2","1","0","1",16.4,20.455,71,110.014,149,"maandag"
"1783",2011-05-01 05:00:00,"05:00:00","2","0","0","1",16.4,20.455,82,60.032,10,"zondag"
"5182",2011-12-10 00:00:00,"00:00:00","4","0","0","2",10.66,13.635,81,70.015,77,"maandag"
"820",2011-02-17 15:00:00,"15:00:00","1","0","1","1",24.6,30.305,28,169.979,106,"maandag"
"2088",2011-05-13 22:00:00,"22:00:00","2","0","1","2",21.32,25,83,150.013,132,"maandag"
"6973",2012-04-08 21:00:00,"21:00:00","2","0","0","1",21.32,25,34,150.013,130,"zondag"
"6469",2012-03-06 19:00:00,"19:00:00","1","0","1","1",13.94,15.15,46,199.995,287,"maandag"
"8490",2012-07-15 03:00:00,"03:00:00","3","0","0","2",27.88,31.82,89,110.014,57,"maandag"
"2203",2011-05-18 17:00:00,"17:00:00","2","0","1","1",24.6,29.545,69,89.981,565,"zondag"
"9852",2012-10-14 21:00:00,"21:00:00","4","0","0","1",22.96,26.515,73,300.026,196,"maandag"
"9945",2012-10-18 18:00:00,"18:00:00","4","0","1","2",22.96,26.515,64,220.028,788,"zaterdag"
"11",2011-01-01 11:00:00,"11:00:00","1","0","0","1",14.76,16.665,81,190.012,56,"zaterdag"
"3993",2011-09-17 10:00:00,"10:00:00","3","0","0","2",20.5,24.24,68,190.012,249,"woensdag"
"3809",2011-09-09 17:00:00,"17:00:00","3","0","1","1",28.7,33.335,79,169.979,505,"zondag"
"7638",2012-05-17 15:00:00,"15:00:00","2","0","1","1",26.24,31.06,36,169.979,316,"zaterdag"
"2177",2011-05-17 15:00:00,"15:00:00","2","0","1","1",25.42,30.305,69,300.026,210,"zaterdag"
"6817",2012-04-02 09:00:00,"09:00:00","2","0","1","1",15.58,19.695,54,239.994,317,"zaterdag"
"9414",2012-09-15 15:00:00,"15:00:00","3","0","0","2",27.88,31.82,34,190.012,654,"zondag"
"242",2011-01-11 11:00:00,"11:00:00","1","0","1","2",8.2,10.605,47,89.981,35,"donderdag"
"632",2011-02-09 13:00:00,"13:00:00","1","0","1","1",7.38,8.335,40,169.979,69,"vrijdag"
"924",2011-03-02 23:00:00,"23:00:00","1","0","1","1",10.66,10.605,30,350.008,22,"woensdag"
"9987",2012-11-01 12:00:00,"12:00:00","4","0","1","3",15.58,19.695,62,110.014,221,"dinsdag"
"7341",2012-05-05 06:00:00,"06:00:00","2","0","0","2",22.14,25.76,94,0,42,"vrijdag"
"9761",2012-10-11 02:00:00,"02:00:00","4","0","1","1",17.22,21.21,50,89.981,11,"donderdag"
"850",2011-02-18 21:00:00,"21:00:00","1","0","1","1",23.78,27.275,21,329.975,72,"dinsdag"
"3389",2011-08-11 03:00:00,"03:00:00","3","0","1","1",26.24,31.06,57,89.981,9,"zaterdag"
"4059",2011-10-01 04:00:00,"04:00:00","4","0","0","1",18.04,21.97,58,279.993,8,"zaterdag"
"9793",2012-10-12 10:00:00,"10:00:00","4","0","1","1",21.32,25,36,199.995,275,"zaterdag"
"6776",2012-03-19 15:00:00,"15:00:00","1","0","1","1",26.24,31.06,57,150.013,286,"woensdag"
"7178",2012-04-17 11:00:00,"11:00:00","2","0","1","1",24.6,31.06,33,279.993,239,"donderdag"
"8435",2012-07-12 20:00:00,"20:00:00","3","0","1","1",30.34,33.335,48,150.013,514,"vrijdag"
"1525",2011-04-09 10:00:00,"10:00:00","2","0","0","2",13.94,16.665,87,89.981,133,"maandag"
"2112",2011-05-14 22:00:00,"22:00:00","2","0","0","3",22.14,25.76,94,110.014,26,"dinsdag"
"9124",2012-09-03 13:00:00,"13:00:00","3","1","0","2",31.16,36.365,66,169.979,566,"zaterdag"
"6122",2012-02-11 08:00:00,"08:00:00","1","0","0","3",9.02,11.365,93,89.981,78,"zondag"
"5320",2011-12-15 18:00:00,"18:00:00","4","0","1","2",21.32,25,59,199.995,377,"zondag"
"8271",2012-07-06 00:00:00,"00:00:00","3","0","1","1",31.98,37.12,62,89.981,102,"donderdag"
"5767",2012-01-15 11:00:00,"11:00:00","1","0","0","1",6.56,7.575,47,150.013,165,"dinsdag"
"6283",2012-02-18 01:00:00,"01:00:00","1","0","0","1",13.12,15.91,49,110.014,45,"dinsdag"
"2170",2011-05-17 08:00:00,"08:00:00","2","0","1","2",21.32,25,94,199.995,347,"zaterdag"
"3625",2011-09-01 23:00:00,"23:00:00","3","0","1","1",26.24,30.305,65,169.979,126,"donderdag"
"3216",2011-08-03 22:00:00,"22:00:00","3","0","1","3",27.88,31.82,89,70.015,77,"woensdag"
"5854",2012-01-19 03:00:00,"03:00:00","1","0","1","1",4.92,7.575,54,70.015,4,"zondag"
"3510",2011-08-16 04:00:00,"04:00:00","3","0","1","1",26.24,30.305,69,199.995,5,"zaterdag"
"255",2011-01-12 00:00:00,"00:00:00","1","0","1","2",6.56,9.85,86,60.032,7,"vrijdag"
"1442",2011-04-05 23:00:00,"23:00:00","2","0","1","1",12.3,14.395,49,190.012,26,"woensdag"
"5689",2012-01-12 05:00:00,"05:00:00","1","0","1","3",13.94,17.425,93,60.032,16,"vrijdag"
"1185",2011-03-14 02:00:00,"02:00:00","1","0","1","1",10.66,14.395,65,60.032,1,"donderdag"
"1844",2011-05-03 18:00:00,"18:00:00","2","0","1","1",28.7,32.575,48,279.993,544,"dinsdag"
"6400",2012-03-03 22:00:00,"22:00:00","1","0","0","1",18.04,21.97,21,89.981,134,"donderdag"
"3078",2011-07-17 04:00:00,"04:00:00","3","0","0","1",25.42,29.545,73,110.014,10,"donderdag"
"5961",2012-02-04 14:00:00,"14:00:00","1","0","0","2",13.12,15.15,66,150.013,276,"vrijdag"
"4169",2011-10-05 18:00:00,"18:00:00","4","0","1","1",24.6,31.06,53,110.014,593,"donderdag"
"10738",2012-12-13 20:00:00,"20:00:00","4","0","1","1",12.3,16.665,45,0,241,"vrijdag"
"847",2011-02-18 18:00:00,"18:00:00","1","0","1","1",26.24,31.06,33,220.028,224,"dinsdag"
"8332",2012-07-08 13:00:00,"13:00:00","3","0","0","1",38.54,43.94,38,169.979,337,"zondag"
"1168",2011-03-13 09:00:00,"09:00:00","1","0","0","1",16.4,20.455,50,279.993,44,"woensdag"
"1728",2011-04-17 22:00:00,"22:00:00","2","0","0","1",20.5,24.24,39,70.015,70,"donderdag"
"10530",2012-12-05 04:00:00,"04:00:00","4","0","1","1",20.5,24.24,63,300.026,10,"dinsdag"
"225",2011-01-10 16:00:00,"16:00:00","1","0","1","1",8.2,10.605,40,89.981,74,"woensdag"
"6388",2012-03-03 10:00:00,"10:00:00","1","0","0","2",16.4,20.455,87,0,168,"donderdag"
